L2_orth,L2_ipa,L2_gloss,L2_etym
տոյլի,,"Alternative form of տոլի (toli, “vine”)",
տոշ,,"horse penis, 13th century, Girkʿ Vastakocʿ [Geoponica]",
տորոն,,"madder, Rubia tinctorum, Synonym: ֆուվայ (fuvay), 6th–12th?",
տուղտ,,"marsh mallow, Althaea officinalis",
տուռէճ,,"francolin; pheasant, 1184, Mxitʿar Heracʿi, J̌ermancʿ",
տուքան,,Alternative form of դուքան (dukʿan),
ցին,,"feces inside animal entrails, 5th century, with changes",
փանճարայ,,Alternative form of փանջարայ (pʿanǰaray),
փանջարայ,,window,
փարչ,,"waterpot, 12–13th century, Vardan Aygekcʿi, Žołovacʿoykʿ",
փնթի,,"slovenly, untidy",
փշատ,,"fruit of oleaster, Elaeagnus angustifolia",
փոլատ,,steel,
փրփրեմ,,"common purslane, Portulaca oleracea",
քապար,,"caper, Capparis, 9th or 10th century, with changes",
քարճիկ,,gizzard,
քաք,,"shit, crap",
քաք,,dry bread,
քաք,,dry bread,
քճճել,,"(of animals) to rummage, dig (in search of food), 5th",
քութէշ,,"nettle-rash, urticaria, 1184, Mxitʿar Heracʿi, J̌ermancʿ",
քուռաթ,,"leek, Allium ampeloprasum (syn. Allium porrum[5])",
քուրջ,,"old cloth, rag, 17th century, Eremia Mełrecʿi, Baṙgirkʿ",
օնք,,Alternative form of յօնք (yōnkʿ),
