L2_orth,L2_ipa,L2_gloss,L2_etym
ᖑ,,"Letter of the Inuktitut syllabary, transcribed as ngu.",
ᖒ,,"Letter of the Inuktitut syllabary, transcribed as nguu.",
ᖓ,,"Letter of the Inuktitut syllabary, transcribed as nga.",
ᖔ,,"Letter of the Inuktitut syllabary, transcribed as ngaa.",
ᖕ,,"Letter of the Inuktitut syllabary, transcribed as ng.",
ᖖ,,"Letter of the Inuktitut syllabary, transcribed as nng.",
ᖠ,,"Letter of the Inuktitut syllabary, transcribed as lhi.",
ᖡ,,"Letter of the Inuktitut syllabary, transcribed as lhii.",
ᖢ,,"Letter of the Inuktitut syllabary, transcribed as lhu.",
ᖣ,,"Letter of the Inuktitut syllabary, transcribed as lhuu.",
ᖤ,,"Letter of the Inuktitut syllabary, transcribed as lha.",
ᖥ,,"Letter of the Inuktitut syllabary, transcribed as lhaa.",
ᖦ,,"Letter of the Inuktitut syllabary, transcribed as lh.",
ᖯ,,"(Aivilik) Letter of the Inuktitut syllabary, transcribed as b.",
ᙯ,,"Letter of the Inuktitut syllabary, transcribed as qai.",
ᙰ,,"Letter of the Inuktitut syllabary, transcribed as ngai.",
ᙱ,,"Letter of the Inuktitut syllabary, transcribed as nngi.",
ᙲ,,"Letter of the Inuktitut syllabary, transcribed as nngii.",
ᙳ,,"Letter of the Inuktitut syllabary, transcribed as nngu.",
ᙴ,,"Letter of the Inuktitut syllabary, transcribed as nnguu.",
ᙵ,,"Letter of the Inuktitut syllabary, transcribed as nnga.",
ᙶ,,"Letter of the Inuktitut syllabary, transcribed as nngaa.",
