L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
녹대,/no̞k̚t͈æ/,bridle; halter,,
놀,/no̞ɭ/,wave,,
놀,/no̞ɭ/,twilight,,
놀,/no̞ɭ/,twilight,,
놀다,/no̞ɭda̠/,"to play, to frolic",,
놀래,/no̞ɭɭæ/,"song, Synonym: 소리 (sori)",,
놀레,/no̞ɭɭe̞/,"Alternative form of 놀래 (nollae, “song”).",,
놀이개,/no̞ɾiɡæ/,play; game; pastime; amusement,,
누님,/nunim/,older sister of a male,,
누의,/nuɰi/,sister,,
느릇,/nɨɾɨt̚/,"declivity, downhill, slope",,
늬귀,/niːɡwi/,"rectangle, quadrangle, square",,
니께미,/nik͈e̞mi/,acne,,
님금,/nimɡɨm/,king,,
다,[ta̠],"everything, all",,
다ᄉᆞᆺ,/tasɒt̚/,five,,
다간,/ta̠ɡa̠n/,two years of age (for livestock animals),,
다리다,/ta̠ɾida̠/,to iron,,
다믄,/ta̠mɨn/,only,,
다히다,/ta̠ɦida̠/,(intransitive) to wear down,,
닷세,/ta̠ss͈e̞/,five days,,
당신,/ta̠ŋʃin/,second person singular plain (non-polite) pronoun;,,
대국,[tɛɡuk̚],"big country, major power",,
대국,[tɛɡuk̚],"China, Synonym: 천ᄌᆞ국 (cheonjawguk)",,
대비,/tæbi/,socks,,
더레,/təɾe/,"to (in the direction of, and arriving at)",,
덩드렁마께,/təŋdɨɾəŋma̠k͈e̞/,"a club, a bat",,
도,/to/,entrance,,
도,/to/,"(chiefly in compounds) god, deity, 궤네깃도 ― gwenegitdo",,
도,/to/,"(chiefly in compounds) god, deity, 궤네깃도 ― gwenegitdo",,
도곰,/to̞ɡo̞m/,a wool mat under a saddle,,
돗,/to̞t̚/,pig,,
동고리,/to̞ŋɡo̞ɾi/,candy (piece of candy),,
동골동골,/to̞ŋɡo̞ɭdo̞ŋɡo̞ɭ/,(of a small object) round,,
동곳,/toŋkos/,icicle,,
동모,/to̞ŋmo̞/,"friend, Synonyms: 벗 (beot), 친구 (chin-gu)",,
동산,/to̞ŋsʰa̠n/,"knoll, hill",,
동셍,/to̞ŋse̞ŋ/,younger sibling (brother or sister),,
두,/tu/,two,,
두덥다,/tədəp̚t͈a/,"(to be) thick
Antonym: 알롭다 (yallopda, “to be thin”)",,
두리다,/tuɾida̠/,"(derogatory) to go crazy, to become insane",,
둘,/tuɭ/,two,,
드르,/tɨɾɨ/,meadow,,
들렁놕들렁놕ᄒᆞ다,/tɨɭɭəŋnwa̠k̚t͈ɨɭɭəŋnwa̠kʰɒta̠/,to pick up and release things,,
들르다,/tɨɭɭɨda̠/,(transitive) to hold,,
때,/t͈æ/,"time; hour, meal, Synonym: 밥 (bap)",,
똥,/t͈o̞ŋ/,"stool, feces",,
뜨다,/t͈ɨda̠/,to drift,,
마눌,/ma̠nuɭ/,garlic,,
마씀,[ma̠s͈ɨm],"Alternative form of 마씸 (-massim, polite particle)",,
마씸,[ma̠ɕ͈im],Sentence-final particle for verbs and adjectives in the polite speech level.,,
메역바당,/me̞jək̚p͈a̠da̠ŋ/,A place where seaweed grows,,
메웁다,/me̞up̚t͈a̠/,"(to be) spicy, hot (usually of food)",,
메치,/me̞t͡ɕʰi/,the appearance of a person,,
멘헤,/me̞nɦe̞/,cotton,,
멩령,/me̞ːŋnjəŋ/,"order, command",,
모냥,/monja̠ŋ/,shape; surface appearance,,
모살,/mo̞sʰa̠ɭ/,sand,,
몰레,/mo̞ɭɭe̞/,sand,,
무사,/musa̠/,"why
Synonym: 웨 (we)",,
무시다,/muɕʰida̠/,to be worried or afraid of something,,
문세,/munsʰe̞/,document,,
물,/muɭ/,water,,
물웨,[muɭɭwe̞],cucumber,,
믄,/mɨn/,"Post-vowel and post-ㄹ (l) allomorphic form of 으믄 (-eumeun, “if, when”).",,
미,/mi/,guy,,
미깡,/miˈk͈a̠ŋ/,"mandarin orange, tangerine",,
미녕실,/minjəŋɕ͈i/,cotton thread,,
미리,/miɾi/,dragon,,
미리내,/miɾinæ/,"the Milky Way, the Galaxy",,
미리헤치,/miɾiɦe̞t͡ɕʰi/,"(astrology) The year of the dragon, the fifth year in the cycle of twelve years under the lunar calendar.",,
바ᄅᆞᆺ구덕,/pa̠ɾɒt̚k͈udək̚/,A basket of fish or seafood,,
바당,[pa̠da̠ŋ],"sea, ocean, Synonyms: 바르 (bareu), 바를 (bareul), 바릇 (bareut)",,
반ᄃᆞᆯ,/pa̠ndɒɭ/,Half-moon,,
발강ᄒᆞ다,/p͈aɭɡaŋhɒda/,(to be) red,,
발락,/pa̠ɭɭa̠k̚/,"fully, to the full, thoroughly
Synonym: 벌렝이 (beolleng-i)",,
밥체시,/pa̠p̚t͡ɕʰe̞ʃi/,A person who eats a lot of rice,,
방,/pa̠ŋ/,seed hole (a place for seeds),,
방둥이,/pa̠ŋduŋi/,toy,,
버데가다,/pəde̞ɡa̠da̠/,to go out with friends,,
버렝이,/pəɾe̞ŋi/,"bug, insect (any small arthropod such as insects, spiders,",,
버뤵이,/pəɾwe̞ŋi/,"Alternative form of 버렝이 (beoreng-i, “insect, bug; maggot”).",,
버부와리,/pəbuwa̠ɾi/,(derogatory) A person whose pronunciation is incorrect,,
버염,/pəjəm/,snake; serpent,,
번짜,[bəɲt͡ɕ͈a̠],(bound noun) -th; position in order,,
베,/pe̞/,stomach,,
베,/pe̞/,"ship, boat, vessel",,
베,/pe̞/,pear,,
베,/pe̞/,times as much,,
베,/pe̞/,"ship, boat, vessel",,
베,/pe̞/,pear,,
베,/pe̞/,times as much,,
베,/pe̞/,pear,,
베,/pe̞/,times as much,,
베,/pe̞/,times as much,,
베염,/pe̞jəm/,"snake, serpent",,
베와주다,/pe̞wa̠d͡ʑuda̠/,to teach,,
베치,⫽pet͡ɕʰi⫽,"napa cabbage, 어멍 베치만 먹으렌 ᄀᆞᆯ아라.Eomeong bechi-man meogeuren",,
벤소,/pe̞nsʰo̞/,"toilet, Synonym: 칙간 (chikgan)",,
벨장게,/pe̞ʎd͡ʑa̠ŋɡe̞/,"shooting star, meteor",,
보뎅이,/po̞de̞ŋi/,"(vulgar) vagina, pussy",,
보롬날,/po̞ɾo̞mna̠ɭ/,the fifteenth day of the lunar month,,
보리클,/po̞ɾikʰɨɭ/,A farm equipment to reduce barley grains,,
복송,/po̞ks͈o̞ŋ/,peach (fruit),,
부루,/puɾu/,"lettuce
Synonym: 상초 (sangcho)",,
부름씨,/puɾɨmʃ͈i/,errand,,
부름씨꾼,/puɾɨmʃ͈ik͈un/,messenger,,
부섭,/pusəp̚/,kitchen,,
북,/puk̚/,"a generic term meaning drum, a traditional Korean double-headed",,
불껑,/puɭk͈əŋ/,ash,,
비들귀,/pidɨɭɡwi/,"pigeon, dove",,
비르,/piɾɨ/,beer,,
비바리,/piba̠ɾi/,An unmarried woman,,
빚채,/piːt̚t͡ɕʰæ/,debt,,
빠쓰,/p͈a̠s͈ɨ/,bus,bus,bˈʌs
빨강ᄒᆞ다,/p͈aɭɡaŋhɒda/,(to be) deep red,,
뽕,/p͈o̞ŋ/,"form, shape",,
사과,/sʰa̠ɡwa̠/,apple,,
사농개,/sʰa̠no̞ŋɡæ/,hound (dog),,
사위,/sʰa̠ɥi/,"Alternative form of 새위 (saewi, “shrimp”)",,
사진끼,/sa̠d͡ʑink͈i/,camera,,
사흘,/sʰa̠ɦɨɭ/,three days,,
산,/sa̠n/,"mountain, Synonym: 오름 (oreum), tomb, Synonyms: 메 (me),",,
산물,/sa̠nmuɭ/,orange,,
삼수매,/sa̠msumæ/,a three year-old horse,,
삼쉬매,/sa̠mʃwimæ/,"a three year-old horse
이 ᄆᆞᆯ은 삼쉬매우까?i mawreun samswimae-ukka?Is this a three-year-old horse?",,
삼월,[sa̠mwəɭ],March,,
상군,/sʰa̠ŋɡun/,A female diver who can hold her breath for a long time,,
상이,[sa̠ŋi],bird,,
새각시,/sʰæɡa̠kʃ͈i/,bride,,
새베,/sʰæbe̞/,dawn; daybreak,,
새위,/sʰæwi/,"shrimp, prawn",,
색깔,/sʰæk̚k͈a̠ɭ/,color,,
생이,[sæŋi],bird,,
생이,[sæŋi],"Alternative form of 상예 (sang-ye, “hearse”)",,
생이,[sæŋi],"Alternative form of 상예 (sang-ye, “hearse”)",,
서답비누,/sʰəda̠p̚p͈inu/,laundry soap,,
서울,[səuɭ],capital,,
서울,[səuɭ],Seoul (the capital city of South Korea),,
서월,[səwəɭ],(Seogwipo) capital,,
서월,[səwəɭ],(Seogwipo) Seoul (the capital city of South Korea),,
서을,/sʰəɨɭ/,Korean New Year (same as Chinese New Year),,
선싕,⫽sənsɰiŋ⫽,"teacher, 누게 선싕마씸?Nuge seonsuing-massim?Who is the teacher?,",,
섣ᄃᆞᆯ,[sət̚t͈ɒɭ~sət̚t͈ɔɭ],"December, the twelfth month of the lunar calendar",,
성,/səŋ/,"older brother (of a male), older sister (of a male)",,
성님,/sʰəŋnim/,"honorific of 성 (seong, “older brother of a male”)",,
성아시,/səŋa̠ʃi/,"brothers, Synonym: 성제 (seongje)",,
성제,/səŋd͡ʑe̞/,"brothers, Synonym: 성아시 (seong-asi)",,
성하르방,/sʰəŋha̠ɾɨba̠ŋ/,paternal grandfather,,
세경넙은드르,/sʰe̞ɡjəŋnəbɨndɨɾɨ/,An open field in all directions.,,
