L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
lao,/lao/,"upstairs, Antonym: anba",,
lao,/lao/,"upstairs, Antonym: anba",,
lao,/lao/,"over, Antonym: anba",,
larenn,/laʁɛn/,"queen, Synonyms: maharani, rani, female ruler, Synonym:",,
larzan,/lɑːzɑ̃/,"money, Synonyms: kas, paisa",,
latet,/latet/,head,,
lazwa,/lazwa/,"happiness, Synonyms: jos, maja",,
le,"/lø, le/",(definite) the,,
lebra,/lebʁa/,arm,,
lerwa,[leʁwa],"king, male ruler",,
lesiel,/lesjel/,sky,,
lisans,/lisɑ̃s/,"licence; driving licence., permit, Synonym: permi",licence,lˈaɪsəns
lizie,/lizje/,eye,,
lor,/loː/,Gold,,
lor,/loː/,"on, Antonym: anba",,
lor,/loː/,"on, Antonym: anba",,
maharaja,[mahaɾadʒa],"king, male ruler",,
maharani,[mahaɾani],queen,,
maja,/madʒa/,"fun, Synonym: lamizman, joy, pleasure, Synonyms: lazwa,",,
mami,/mami/,"grandmother, Synonym: granmer",,
mami,/mami/,"aunt, particularly maternal uncle's wife, Synonym:",,
mami,/mami/,"aunt, particularly maternal uncle's wife, Synonym:",,
maraz,[maʁaz],"(Hinduism) someone who performs a puja; a Hindu priest,",,
matant,/matɑ̃t/,"aunt, Synonyms: ato, khala, mami, mawsi, tantinn",,
mawsi,/mɔːsi/,"maternal aunt, Synonym: matant",,
mem,/mem/,same,,
mem,/mem/,even,,
mete,/mete/,"to put; put on, to set, to wear",,
molton,[moltɔ̃],"blanket, Synonyms: kamli, kwet, kouvertir, quilt",,
nani,/nani/,"maternal grandmother, Synonym: granmer",,
news,[njuz],"news, information, Synonyms: nouvel, samachar",news,nˈuːz
non,/nɔ̃/,name,,
non,/nɔ̃/,"no; a word used to indicate disagreement or negation,",,
non,/nɔ̃/,"no; a word used to indicate disagreement or negation,",,
nonsense,/nɒnsɛns/,nonsense,nonsense,nˈɑːnsəns
nouvel,[nuvel],"news, information, Synonyms: news, samachar",,
nouvel,[nuvel],new,,
nouvel,[nuvel],new,,
orevwar,/oʁevwɑː/,"goodbye, Synonyms: alvida, bye",,
Ostrali,[(l)ostʁali],Australia (a continent and country in Oceania),,
Ostralien,[ostʁaljɛ̃],an Australian,,
ostralien,[ostʁaljɛ̃],Australian English,,
ostralien,[ostʁaljɛ̃],Australian,,
ot,/ot/,"high, Synonym: elve",,
oter,/otɛː/,"author; writer, Synonym: ekrivin",,
oter,/otɛː/,height,,
oter,/otɛː/,height,,
otorite,/otoʁite/,"authority, power",,
otoriter,/otoʁitɛː/,authoritarian,,
otorizasion,/otoʁizasjɔ̃/,"autorisation, permission, Synonym: permision",,
otorize,/otorize/,to autorise.,,
Otrish,[otʁiʃ],Austria (a country in Europe),,
Otrishien,[otʁiʃ(j)ɛ̃],an Austrian,,
otrishien,[otʁiʃ(j)ɛ̃],Austrian German,,
otrishien,[otʁiʃ(j)ɛ̃],Austrian,,
ouver,[uvɛː],"open, open-minded (of a person)",,
ouver,[uvɛː],to open,,
ouvertir,[uvɛːtiːə],opening,,
pagla,/paɡla/,"(masculine) mad, crazy person, Synonym: fou",,
pagla,/paɡla/,"(masculine) mad, crazy, Synonym: fou",,
pagli,/paɡli/,"(feminine) mad, crazy person, Synonym: fol",,
pagli,/paɡli/,"(feminine) mad, crazy, Synonym: fol",,
pagn,[pãj],"loincloth, sari, Synonym: sari",,
paisa,/paisa/,"money, Synonyms: kas, larzan",,
pandit,[pəndit],"a scholar, learned man, pundit, (Hinduism) someone",,
pangar,/pɑ̃ɡɑː/,lest; in case,,
papa,/papa/,father,,
papi,/papi/,"grandfather, Synonym: granper",,
pares,/paʁes/,laziness,,
parese,/paʁese/,lazy person,,
paresez,/paʁesez/,female equivalent of parese; lazy person,,
parking,/pɑːkiŋ/,"area where cars or other vehicles are parked; car park,",parking,pˈɑː͡ɹkɪŋ
parsadi,[pəɾsadi],"(Hinduism, Sikhism) a type of food that is served as",,
paspor,[paspoː],passport,,
pe,/pe/,(auxiliary) Used to indicate present progressive tense,,
permet,/pɛːmet/,to allow; to permit,,
permi,/pɛːmi/,"permit, Synonym: lisans",,
permisib,/pɛːmisib/,"permissible; tolerable, acceptable., Synonyms: tolerab,",,
permision,/pɛːmisjɔ̃/,"permission, Synonym: otorizasion",,
piblisite,/piblisite/,"publicity, advertisement, Synonyms: anons, reklam",,
plant,[plɑ̃t],a plant,,
plant,[plɑ̃t],Medial form of plante; to plant.,,
plantasion,[plɑ̃tasjɔ̃],plantation; crop,,
plante,[plɑ̃te],to plant,,
planter,[plɑ̃tɛː],"a planter; one that plants something, Synonym: agrikilter",,
plezir,/pleziːə/,"pleasure, Synonym: maja",,
pli,/pli/,more,,
plis,/plis/,"plus, addition, benefit, advantage",,
plis,/plis/,Medial form of plise; to peel.,,
plis,/plis/,Medial form of plise; to peel.,,
plise,/plise/,to peel,,
plore,/ploʁe/,to cry (shed tears),,
pou,/pu/,for,,
pou,/pu/,(auxiliary) Used to indicate future tense.,,
prasad,[pɾəsad],"(Hinduism, Sikhism) a type of food that is served as",,
pronons,/pʁonɔ̃s/,Medial form of prononse; to pronounce.,,
prononse,/pʁonɔ̃se/,to pronounce,,
prononsiasion,/pʁonɔ̃sjasjɔ̃/,pronunciation,,
puja,[pudʒa],(Hinduism) a religious ritual performed as an act of,,
pujari,[pudʒaʁi],"(Hinduism) someone who performs a puja; a Hindu priest,",,
rakhi,/ʁaki/,An ornamental wristband given by a young woman to a,,
raki,/ʁaki/,An ornamental wristband given by a young woman to a,,
rani,[ʁani],"queen, female ruler",,
realizasion,/ʁealizasjɔ̃/,creation; realization,,
realizater,/ʁealizatɛː/,"creator, director",,
realize,/ʁealize/,to realize.,,
reklam,/ʁeklam/,"advertisement, advertising, Synonyms: piblisite, anons",,
reklam,/ʁeklam/,Medial form of reklame,,
reklame,/ʁeklame/,to claim,,
ridikil,/ʁidʒikil/,ridiculous,,
ridikilize,/ʁidʒikilize/,to ridicule; to make fun of.,,
royos,[ʁojos],hipster,,
royos,[ʁojos],hipster,,
rwine,/ʁwine/,"to ruin, damage, Synonyms: abime, andomaze, gate",,
rwinn,/ʁwin/,ruin,,
rwinn,/ʁwin/,medial form of rwine,,
rwinn,/ʁwin/,medial form of rwine,,
saler,/salɛː/,heat,,
samachar,[samatʃaɾ],"broadcast news, news, information",,
sari,[saʁi],"sari, Synonym: pagn",,
ser,/sɛː/,"sister, Synonym: didi",,
ser,/sɛː/,"dear, expensive",,
ser,/sɛː/,"dear, expensive",,
serom,[seʁom],serum,serum,sˈɛɹəm
servi,/sɛːvi/,"to use, utilise, Synonym: itilize, to serve",,
si,/si/,if,,
si,/si/,yes (used to contradict a negative statement),,
sinon,/sinɔ̃/,"otherwise, besides",,
so,/so/,"(possessive) his, her, its, one's",,
so,/so/,"hot, warm.",,
so,/so/,"hot, warm.",,
somey,/somej/,"sleep, nap",,
sovaz,/sovaz/,"An uncivilized, mannerless human",,
sovaz,/sovaz/,"wild, untamed, mannerless, Synonym: malelve",,
stasionnman,/stasjonmɑ̃/,"car park, Synonym: parking",,
take,/take/,power switch.,,
tantinn,/tɑ̃tʃin/,"aunt, Synonyms: khala, mami, matant",,
tata,/tata/,"grandfather, Synonym: granper",,
tata,/tata/,"(usually childish) poo, excrement",,
tata,/tata/,"(usually childish) to poo, defecate",,
tata,/tata/,"(usually childish) poo, excrement",,
tata,/tata/,"(usually childish) to poo, defecate",,
ti,/tʃi/,(auxiliary) Used to indicate past tense.,,
ti'nn,/tʃin/,(auxiliary) Used to indicate pluperfect tense.,,
tolerab,/toleʁab/,"tolerable, acceptable., Synonym: akseptab",,
tolerans,/toleʁɑ̃s/,tolerance,,
tolere,/toleʁe/,to tolerate,,
tonton,/tɔ̃tɔ̃/,"uncle, Synonyms: chacha, mama",,
trankil,[tʁɑ̃kil],"silent, quiet, still, calm",,
trankil,[tʁɑ̃kil],"keep quiet, shush, shut up",,
vilaz,/vilaz/,"village, Synonym: gaon",,
vilazwa,/vilazwa/,"villager, countryside dweller",,
vol,/vol/,theft; robbery.,,
voler,/volɛː/,"thief; robber., Synonym: chor",,
wi,/wi/,yes; a word used to indicate agreement or acceptance,,
zong,/zoŋ/,finger nail; toe nail.,,
zour,/zuːə/,day,,
zour,/zuːə/,Medial form of zoure,,
zour,/zuːə/,Medial form of zoure,,
zoure,/zuʁe/,"to curse, to swear",,
zournal,[zuːnal],"broadcast news, Synonyms: informasion, samachar, news,",,
zournalis,[zuːnalis],journalist,,
zournalism,[zuːnalism],journalism,,
