L2_orth,L2_ipa,L2_gloss,L2_etym,en_ipa
Bengî,/bɛnˈɡiː/,A male given name,,
benîşt,/bɛˈniːʃt/,chewing gum,,
beq,/bɛq/,frog,,
berbijar,/bɛɾbɪˈʒɑːɾ/,candidate,,
berbilavî,/bɛɾbɪlɑːˈviː/,population density,,
berdan,/bɛɾˈdɑːn/,"to let, allow, to give up, leave, forsake, to divorce",,
berdewam,/bɛɾdɛˈwɑːm/,"continuous, constant, perpetual, ongoing",,
berf,-ɛɾf,snow,,
berfire,/bɛɾfɪˈɾɛ/,"wide, vast",,
Berfîn,/bɛɾˈfiːn/,A female given name,,
berhevdanî,/bɛɾhɛvdɑːˈniː/,comparison,,
bername,[bɛrnaːmɛ],program,,
bernamekirin,/bɛɾnɑːmɛkɪˈɾɪn/,programming,,
bernameçêker,[bɛrnaːmɛˌtʃeːkɛr],programer,,
bersiv,/bɛɾˈsɪv/,response,,
bersivandin,/bɛɾsɪvɑːnˈdɪn/,to respond,,
bertîl,/bɛɾˈtiːl/,bribe,,
bertîlxwer,/bɛɾtiːlxˈwɛɾ/,corrupter,,
bertîlxwerî,/bɛɾtiːlxwɛˈɾiː/,corruption,,
Berxwedan,/bɛɾxwɛˈdɑːn/,A male given name,,
berxwedan,/bɛɾxwɛˈdɑːn/,resistance,,
Berzan,/bɛɾˈzɑːn/,A male given name,,
berêkane,/bɛɾeːkɑːˈnɛ/,competition (action of competing),,
betilandin,/bɛtɪlɑːnˈdɪn/,to tire,,
Bextewar,/bɛxtɛˈwɑːɾ/,A male given name,,
bezok,/bɛˈzoːk/,"runner, racer",,
beşdar,/bɛʃˈdɑːɾ/,participant,,
bi,-ɪ,"by, with",,
biencam,/bɪɛnˈd͡ʒɑːm/,resultful,,
biencamî,/bɪɛnd͡ʒɑːˈmiː/,resultfulness,,
biguman,/bɪɡʊˈmɑːn/,doubtful,,
biguman,/bɪɡʊˈmɑːn/,doubtfully,,
bigumanî,/bɪɡʊmɑːˈniː/,doubtfulness,,
bihar,/bɪˈhɑːɾ/,spring (the season),,
bihêvî,/bɪheːˈviː/,hopeful,,
bijî,/bɪˈʒiː/,Long live ... ! (used to express acclaim or support),,
bijîşk,/bɪˈʒiːʃk/,"doctor, physician",,
bikarhêner,/bɪkɑːɾheːˈnɛɾ/,user,,
bilez,/bɪˈlɛz/,"quick, fast",,
bilgîsayar,/bɪlɡiːsɑːˈjɑːɾ/,"computer, Synonyms: kompûter, kombers",,
bilind,/bɪˈlɪnd/,high,,
bilûr,/bɪˈluːɾ/,"flute (woodwind instrument), shepherd's pipe",,
bindestî,/bɪndɛsˈtiː/,bondage,,
binefş,/bɪˈnɛfʃ/,(botany) violet,,
binefşî,/bɪnɛfˈʃiː/,purple,,
bingeh,/bɪnˈɡɛh/,"basis, foundation, base",,
binkom,/bɪnˈkoːm/,subset,,
binpêker,/bɪnpeːˈkɛɾ/,violator,,
binpêkerî,/bɪnpeːkɛˈɾiː/,violation,,
binrûpel,/bɪnɾuːˈpɛl/,subpage,,
binîya,/bɪniːˈjɑː/,"below, under",,
bira,-ɑː,as a brother,,
bira,-ɑː,brother,,
biratî,/bɪɾɑːˈtiː/,brotherhood,,
